location,year,quarter,avg_price
avalahalli,2027,Apr-Jun,6797.388779288041
avalahalli,2027,Jul-Sep,7002.154779885795
avalahalli,2027,Oct-Dec,7213.089195497349
avalahalli,2028,Jan-Mar,7430.3778447824
avalahalli,2028,Apr-Jun,7654.212144041888
avalahalli,2028,Jul-Sep,7884.789275842546
avalahalli,2028,Oct-Dec,8122.312362721128
avalahalli,2029,Jan-Mar,8366.990646121345
avalahalli,2029,Apr-Jun,8619.039670721131
avalahalli,2029,Jul-Sep,8878.681474312627
avalahalli,2029,Oct-Dec,9146.14478340215
avalahalli,2030,Jan-Mar,9421.665214702449
avalahalli,2030,Apr-Jun,9705.48548269478
avalahalli,2030,Jul-Sep,9997.855613443593
avalahalli,2030,Oct-Dec,10299.033164852248
btm layout,2025,Jan-Mar,8249.529460141766
btm layout,2025,Apr-Jun,8460.142055074353
btm layout,2025,Jul-Sep,8676.131643368628
btm layout,2025,Oct-Dec,8897.635501038978
btm layout,2026,Jan-Mar,9124.794408791508
btm layout,2026,Apr-Jun,9357.752741499724
btm layout,2026,Jul-Sep,9596.65855996454
btm layout,2026,Oct-Dec,9841.663705016948
btm layout,2027,Jan-Mar,10092.923894023153
btm layout,2027,Apr-Jun,10350.598819853505
btm layout,2027,Jul-Sep,10614.852252378134
btm layout,2027,Oct-Dec,10885.852142553804
btm layout,2028,Jan-Mar,11163.770729168114
btm layout,2028,Apr-Jun,11448.784648308922
btm layout,2028,Jul-Sep,11741.075045628537
btm layout,2028,Oct-Dec,12040.827691474058
btm layout,2029,Jan-Mar,12348.233098957011
btm layout,2029,Apr-Jun,12663.486645037336
btm layout,2029,Jul-Sep,12986.78869469868
btm layout,2029,Oct-Dec,13318.344728293918
btm layout,2030,Jan-Mar,13658.365472141835
btm layout,2030,Apr-Jun,14007.06703245798
btm layout,2030,Jul-Sep,14364.671032704799
btm layout,2030,Oct-Dec,14731.404754448356
banashankari,2025,Jan-Mar,9307.792096402685
banashankari,2025,Apr-Jun,9478.114913452097
banashankari,2025,Jul-Sep,9651.554459120624
banashankari,2025,Oct-Dec,9828.167766267714
banashankari,2026,Jan-Mar,10008.012911394224
banashankari,2026,Apr-Jun,10191.149033739966
banashankari,2026,Jul-Sep,10377.636354730712
banashankari,2026,Oct-Dec,10567.536197781057
banashankari,2027,Jan-Mar,10760.911008459661
banashankari,2027,Apr-Jun,10957.82437502349
banashankari,2027,Jul-Sep,11158.34104932781
banashankari,2027,Oct-Dec,11362.52696811881
banashankari,2028,Jan-Mar,11570.449274715866
banashankari,2028,Apr-Jun,11782.17634109056
banashankari,2028,Jul-Sep,11997.77779034973
banashankari,2028,Oct-Dec,12217.324519629921
banashankari,2029,Jan-Mar,12440.888723410799
banashankari,2029,Apr-Jun,12668.54391725516
banashankari,2029,Jul-Sep,12900.364961983372
banashankari,2029,Oct-Dec,13136.42808829017
banashankari,2030,Jan-Mar,13376.810921811915
banashankari,2030,Apr-Jun,13621.592508652568
banashankari,2030,Jul-Sep,13870.853341376745
banashankari,2030,Oct-Dec,14124.675385478438
banaswadi,2025,Jan-Mar,8707.797583421516
banaswadi,2025,Apr-Jun,8865.500444742906
banaswadi,2025,Jul-Sep,9026.059389044027
banaswadi,2025,Oct-Dec,9189.526141511846
banaswadi,2026,Jan-Mar,9355.95336410407
banaswadi,2026,Apr-Jun,9525.394672514567
banaswadi,2026,Jul-Sep,9697.904653446029
banaswadi,2026,Oct-Dec,9873.538882195468
banaswadi,2027,Jan-Mar,10052.353940558183
banaswadi,2027,Apr-Jun,10234.407435055982
banaswadi,2027,Jul-Sep,10419.758015495527
banaswadi,2027,Oct-Dec,10608.465393862774
banaswadi,2028,Jan-Mar,10800.590363559619
banaswadi,2028,Apr-Jun,10996.1948189889
banaswadi,2028,Jul-Sep,11195.341775494131
banaswadi,2028,Oct-Dec,11398.09538966032
banaswadi,2029,Jan-Mar,11604.520979982472
banaswadi,2029,Apr-Jun,11814.68504790839
banaswadi,2029,Jul-Sep,12028.65529926259
banaswadi,2029,Oct-Dec,12246.500666058202
banaswadi,2030,Jan-Mar,12468.291328703903
