Locality,Start_Price,End_Price,Quarterly_Growth,Quarterly Growth (%),CAGR,CAGR (%)
stage 6th banashankari,5509.0,9755.0,0.02409388021867498,2.4094,0.09991489569805889,9.99
richmond town,10700.0,16714.0,0.01875720328245367,1.8757,0.07716633055394517,7.72
cv raman nagar,6184.0,7594.0,0.008594772720169397,0.8595,0.034824856633643986,3.48
cunningham road,18218.0,19437.0,0.0027023259603515815,0.2702,0.010853198223959915,1.09
hoskote chintamani road,2948.0,5173.0,0.023706886881661893,2.3707,0.09825325694789822,9.83
cooke town,8772.0,12408.0,0.014553916549438606,1.4554,0.059498941023444774,5.95
richards town,9450.0,12062.0,0.010220428482719868,1.022,0.041512738180065956,4.15
subramanyapura,4617.0,6739.0,0.015881728511600413,1.5882,0.06505637681821264,6.51
hosur road,4546.0,7506.0,0.02111376423902822,2.1114,0.08716765123551506,8.72
commissariat road,9050.0,18748.0,0.03081191986399978,3.0812,0.12906183539443283,12.91
hsr layout,6339.0,9021.0,0.014810021010924324,1.481,0.06056914601222507,6.06
rayasandra main road,3400.0,7559.0,0.033850462042164464,3.385,0.14243343455195845,14.24
coles road,7200.0,12248.0,0.02238357020432047,2.2384,0.0925855359758665,9.26
hulimavu,5279.0,8623.0,0.02065612665839822,2.0656,0.08521999595514229,8.52
rk hegde nagar,5594.0,9064.0,0.020312545012822092,2.0313,0.08375947098144754,8.38
hosa road,4923.0,6835.0,0.013766327194469907,1.3766,0.056212850802964676,5.62
stage 2 rmv,8857.0,16570.0,0.026442977163618764,2.6443,0.11004174282800405,11.0
hesarghatta road,4654.0,9465.0,0.030019847689711332,3.002,0.1255955649332996,12.56
doddakallasandra,4500.0,8554.0,0.027124756852463072,2.7125,0.11299391177086493,11.3
sahakar nagar,6424.0,8519.0,0.011830178961764526,1.183,0.04816707692204081,4.82
holiday village road,4100.0,9602.0,0.036093804735624735,3.6094,0.15238157923087647,15.24
doddagubbi main road,1650.0,5431.0,0.05089218106135496,5.0892,0.2196427628422395,21.96
hoodi main road,7250.0,8250.0,0.005398340959322123,0.5398,0.021768846472874692,2.18
doddaballapur main road,4971.0,7912.0,0.019553699432034444,1.9554,0.08053893209225627,8.05
stage 3rd banashankari,6451.0,8435.0,0.011235758880334457,1.1236,0.04570617883532013,4.57
horamavu,4660.0,5664.0,0.008162924305703534,0.8163,0.03305367735356013,3.31
rt nagar,5488.0,6496.0,0.00705068621894589,0.7051,0.02850242242385348,2.85
devasthanagalu,4950.0,11846.0,0.03702749725506549,3.7027,0.15654114613729053,15.65
stage 2nd btm layout,5650.0,10947.0,0.027942000684274104,2.7942,0.11654040820146894,11.65
rr nagar,4755.0,7524.0,0.01930485879501731,1.9305,0.0794844174589151,7.95
horamavu main road,3540.0,5617.0,0.019422500624927785,1.9423,0.07998285326192911,8.0
devanahalli,5071.0,7923.0,0.018766921213814403,1.8767,0.07720743152760545,7.72
varthur road,5167.0,12256.0,0.03664389753292174,3.6644,0.15483086260663947,15.48
varthur road,5167.0,12256.0,0.03664389753292174,3.6644,0.15483086260663947,15.48
nri layout main road,3550.0,6695.0,0.026786364841094867,2.6786,0.11152790810041857,11.15
kudlu gate,6508.0,7854.0,0.00786370641427614,0.7864,0.03182780185213696,3.18
kudlu main road,3771.0,7643.0,0.02987291975319928,2.9873,0.12495345672148361,12.5
kudlu main road,3771.0,7643.0,0.02987291975319928,2.9873,0.12495345672148361,12.5
whitefield hoskote road,5450.0,8139.0,0.01685088924245126,1.6851,0.06912649181474828,6.91
nice ring road,3400.0,6695.0,0.028635051981394044,2.8635,0.11955459658127832,11.96
kumaraswamy layout,5216.0,7305.0,0.014133455259508265,1.4133,0.057743681173760386,5.77
kundalahalli,5620.0,10923.0,0.02807603134272796,2.8076,0.11712285319302862,11.71
bagalur colony,4300.0,8469.0,0.02864413262822807,2.8644,0.11959413019236376,11.96
new airport road,2700.0,8653.0,0.049723989907270116,4.9724,0.21422868911840132,21.42
attibele anekal road,3000.0,5134.0,0.022638821438661916,2.2639,0.09367705689854655,9.37
attibele,3234.0,5276.0,0.020603058494204518,2.0603,0.08499431312223571,8.5
magadi main road,8515.0,12253.0,0.015279789091598106,1.528,0.06253431221255412,6.25
whitefield,9689.0,12172.0,0.009551452166786989,0.9551,0.038756683946107096,3.88
kudlu,6260.0,7740.0,0.008881773550303063,0.8882,0.03600321841944121,3.6
outer ring road,7181.0,9606.0,0.012196665606394985,1.2197,0.04968649390433533,4.97
basapaura main road,2500.0,8230.0,0.050898630567361325,5.0899,0.2196727037472348,21.97
kogilu,5417.0,9572.0,0.024004410657169517,2.4004,0.09953057152669076,9.95
vittal mallya road,10150.0,19565.0,0.027721815502110392,2.7722,0.11558406368367224,11.56
konanakunte,5761.0,8458.0,0.01612875603974473,1.6129,0.06609269518854699,6.61
bannerghatta main road,5075.0,9326.0,0.02567744858839771,2.5677,0.10673393705651368,10.67
viviani road,7403.0,11593.0,0.018863889476955942,1.8864,0.0776176130746975,7.76
koramangala,10968.0,14687.0,0.012240172120410175,1.224,0.049866977188580686,4.99
bannerghatta anekal road,4700.0,5116.0,0.00354001673592208,0.354,0.014235434861648466,1.42
bangalore university road,6642.0,8611.0,0.01087652955389129,1.0877,0.044221072306730225,4.42
kothanur,5465.0,8624.0,0.01918950027606181,1.919,0.07899582335772415,7.9
banaswadi,5230.0,8046.0,0.01811053366945914,1.8111,0.07443395123430019,7.44
old madras road,4860.0,9034.0,0.02616805876939754,2.6168,0.10885298390617026,10.89
krishnarajapura,4747.0,8276.0,0.023430570394555428,2.3431,0.09706798549215412,9.71
banashankari,6239.0,9641.0,0.018298949448520396,1.8299,0.07522952895157209,7.52
mahadevapura,5795.0,10130.0,0.023543960892033144,2.3544,0.09755426277774881,9.76
