Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
Gala Gymkhana Road,Apr-Jun 2021,"4,070 - 6,400","5,230",1.30%,,,
Gala Gymkhana Road,Jan-Mar 2021,"4,010 - 6,320","5,160",1.20%,,,
Gala Gymkhana Road,Oct-Dec 2020,"3,960 - 6,250","5,100",1.10%,,,
Gala Gymkhana Road,Jul-Sep 2020,"3,910 - 6,180","5,040",1.00%,,,
Gala Gymkhana Road,Apr-Jun 2020,"3,870 - 6,120","4,990",0.90%,,,
Gala Gymkhana Road,Jan-Mar 2020,"3,830 - 6,080","4,950",0.80%,,,
Gala Gymkhana Road,Oct-Dec 2019,"3,800 - 6,050","4,920",0.70%,,,
Gala Gymkhana Road,Jul-Sep 2019,"3,770 - 6,020","4,890",0.60%,,,
Gala Gymkhana Road,Apr-Jun 2019,"3,740 - 5,990","4,860",0.50%,,,
Gala Gymkhana Road,Jan-Mar 2019,"3,710 - 5,960","4,830",0.50%,,,
Gala Gymkhana Road,Oct-Dec 2018,"3,680 - 5,930","4,800",0.40%,,,
Gala Gymkhana Road,Jul-Sep 2018,"3,650 - 5,900","4,770",0.50%,,,
Gala Gymkhana Road,Apr-Jun 2018,"3,620 - 5,870","4,740",0.60%,,,
Gala Gymkhana Road,Jan-Mar 2018,"3,590 - 5,840","4,710",0.70%,,,
Gala Gymkhana Road,Oct-Dec 2017,"3,560 - 5,800","4,680",0.80%,,,
Gala Gymkhana Road,Jul-Sep 2017,"3,520 - 5,770","4,640",0.90%,,,
Gala Gymkhana Road,Apr-Jun 2017,"3,480 - 5,730","4,600",1.00%,,,
Gala Gymkhana Road,Jan-Mar 2017,"3,440 - 5,690","4,560",1.20%,,,
Gala Gymkhana Road,Oct-Dec 2016,"3,400 - 5,650","4,520",1.30%,,,
Gala Gymkhana Road,Jul-Sep 2016,"3,360 - 5,620","4,480",1.40%,,,
Gala Gymkhana Road,Apr-Jun 2016,"3,320 - 5,580","4,440",1.50%,,,
Gala Gymkhana Road,Jan-Mar 2016,"3,290 - 5,540","4,400",1.40%,,,
Gala Gymkhana Road,Oct-Dec 2015,"3,260 - 5,510","4,370",1.30%,,,
Gala Gymkhana Road,Jul-Sep 2015,"3,230 - 5,480","4,340",1.20%,,,
Gala Gymkhana Road,Apr-Jun 2015,"3,200 - 5,450","4,310",1.10%,,,
Gala Gymkhana Road,Jan-Mar 2015,"3,170 - 5,420","4,280",1.00%,,,
Gala Gymkhana Road,Oct-Dec 2014,"3,140 - 5,390","4,250",0.90%,,,
,,,,,,,
Gota,Oct-Dec 2024,"5,591 - 7,892","6,741",2%,,,
Gota,Jul-Sep 2024,"5,431 - 7,742","6,587",2%,,,
Gota,Apr-Jun 2024,"5,276 - 7,688","6,482",2%,,,
Gota,Jan-Mar 2024,"5,097 - 7,566","6,331",1%,,,
Gota,Oct-Dec 2023,"5,023 - 7,723","6,373",5%,,,
Gota,Jul-Sep 2023,"4,911 - 7,276","6,093",4%,,,
Gota,Apr-Jun 2023,"4,864 - 6,853","5,859",2%,,,
Gota,Jan-Mar 2023,"4,595 - 6,907","5,751",4%,,,
Gota,Oct-Dec 2022,"4,425 - 6,626","5,526",5%,,,
Gota,Jul-Sep 2022,"4,510 - 7,082","5,796",0.30%,,,
Gota,Apr-Jun 2022,"4,767 - 6,791","5,779",1%,,,
Gota,Jan-Mar 2022,"4,684 - 6,764","5,724",1.00%,,,
Gota,Oct-Dec 2021,"4,558 - 6,896","5,727",7%,,,
Gota,Jul-Sep 2021,"4,276 - 6,440","5,358",9%,,,
Gota,Apr-Jun 2021,"4,052 - 5,764","4,908",1%,,,
Gota,Jan-Mar 2021,"4,015 - 5,667","4,841",2%,,,
Gota,Oct-Dec 2020,"4,015 - 5,901","4,958",1%,,,
Gota,Jul-Sep 2020,"4,000 - 5,975","4,987",2%,,,
Gota,Apr-Jun 2020,"3,989 - 5,805","4,897",2%,,,
Gota,Jan-Mar 2020,"4,061 - 5,505","4,783",4%,,,
Gota,Oct-Dec 2019,"4,053 - 5,948","5,001",0.40%,,,
Gota,Jul-Sep 2019,"3,944 - 6,015","4,980",4%,,,
Gota,Apr-Jun 2019,"3,852 - 6,474","5,163",6%,,,
Gota,Jan-Mar 2019,"3,735 - 5,972","4,854",5%,,,
Gota,Oct-Dec 2018,"3,518 - 5,704","4,611",4.50%,,,
Gota,Jul-Sep 2018,"3,390 - 5,450","4,412",3.80%,,,
Gota,Apr-Jun 2018,"3,280 - 5,310","4,263",3.40%,,,
Gota,Jan-Mar 2018,"3,190 - 5,180","4,126",3.10%,,,
Gota,Oct-Dec 2017,"3,100 - 5,060","4,006",2.90%,,,
Gota,Jul-Sep 2017,"3,020 - 4,950","3,895",2.60%,,,
Gota,Apr-Jun 2017,"2,950 - 4,840","3,800",2.40%,,,
Gota,Jan-Mar 2017,"2,890 - 4,740","3,720",2.20%,,,
Gota,Oct-Dec 2016,"2,840 - 4,650","3,645",2.00%,,,
Gota,Jul-Sep 2016,"2,790 - 4,570","3,580",1.90%,,,
Gota,Apr-Jun 2016,"2,750 - 4,500","3,520",1.70%,,,
Gota,Jan-Mar 2016,"2,720 - 4,440","3,470",1.60%,,,
Gota,Oct-Dec 2015,"2,690 - 4,380","3,420",1.50%,,,
Gota,Jul-Sep 2015,"2,660 - 4,320","3,370",1.30%,,,
Gota,Apr-Jun 2015,"2,630 - 4,270","3,320",1.10%,,,
Gota,Jan-Mar 2015,"2,600 - 4,220","3,270",1.00%,,,
Gota,Oct-Dec 2014,"2,570 - 4,180","3,230",0.80%,,,
,,,,,,,
Iscon Ambli Road,Oct-Dec 2024,"6,768-10,721","8,744",1%,,,
Iscon Ambli Road,Jul-Sep 2024,"6,832-10,764","8,798",8%,,,
Iscon Ambli Road,Apr-Jun 2024,"6,506-9,726","8,116",3%,,,
Iscon Ambli Road,Jan-Mar 2024,"6,415-9,343","7,879",2%,,,
Iscon Ambli Road,Oct-Dec 2023,"6,564-9,525","8,045",1%,,,
Iscon Ambli Road,Jul-Sep 2023,"6,494-9,377","7,936",1%,,,
Iscon Ambli Road,Apr-Jun 2023,"6,391-9,350","7,870",1%,,,
Iscon Ambli Road,Jan-Mar 2023,"6,307-9,285","7,796",5%,,,
Iscon Ambli Road,Oct-Dec 2022,"6,064-8,790","7,427",1%,,,
Iscon Ambli Road,Jul-Sep 2022,"6,044-8,923","7,484",1%,,,
Iscon Ambli Road,Apr-Jun 2022,"6,070-8,687","7,379",1%,,,
Iscon Ambli Road,Jan-Mar 2022,"6,448-8,218","7,333",4%,,,
Iscon Ambli Road,Oct-Dec 2021,"5,992-8,050","7,021",2%,,,
Iscon Ambli Road,Jul-Sep 2021,"5,898-7,813","6,855",0.50%,,,
Iscon Ambli Road,Apr-Jun 2021,"5,925-7,852","6,888",3%,,,
Iscon Ambli Road,Jan-Mar 2021,"5,932-7,480","6,706",3%,,,
Iscon Ambli Road,Oct-Dec 2020,"5,993-7,078","6,535",1%,,,
Iscon Ambli Road,Jul-Sep 2020,"5,613-7,305","6,459",1%,,,
Iscon Ambli Road,Apr-Jun 2020,"5,710-7,367","6,538",0.20%,,,
Iscon Ambli Road,Jan-Mar 2020,"5,862-7,238","6,550",0.20%,,,
Iscon Ambli Road,Oct-Dec 2019,"5,812-7,268","6,540",1%,,,
Iscon Ambli Road,Jul-Sep 2019,"5,873-7,346","6,609",1%,,,
Iscon Ambli Road,Apr-Jun 2019,"5,898-7,398","6,648",0.10%,,,
Iscon Ambli Road,Jan-Mar 2019,"5,212-8,067","6,639",0.50%,,,
Iscon Ambli Road,Oct-Dec 2018,"5,989-7,226","6,608",1%,,,
Iscon Ambli Road,Jul-Sep 2018,"5,833-7,302","6,568",2%,,,
Iscon Ambli Road,Apr-Jun 2018,"5,734-7,164","6,449",1%,,,
Iscon Ambli Road,Jan-Mar 2018,"5,795-7,009","6,402",-,,,
Iscon Ambli Road,Oct-Dec 2017,"5,710 - 6,950","6,330",1.20%,,,
Iscon Ambli Road,Jul-Sep 2017,"5,640 - 6,875","6,255",1.50%,,,
Iscon Ambli Road,Apr-Jun 2017,"5,580 - 6,780","6,180",1.80%,,,
Iscon Ambli Road,Jan-Mar 2017,"5,520 - 6,700","6,100",2.00%,,,
Iscon Ambli Road,Oct-Dec 2016,"5,460 - 6,630","6,030",2.20%,,,
Iscon Ambli Road,Jul-Sep 2016,"5,410 - 6,570","5,980",2.50%,,,
Iscon Ambli Road,Apr-Jun 2016,"5,360 - 6,500","5,930",2.70%,,,
Iscon Ambli Road,Jan-Mar 2016,"5,320 - 6,450","5,880",2.90%,,,
Iscon Ambli Road,Oct-Dec 2015,"5,280 - 6,390","5,830",3.00%,,,
Iscon Ambli Road,Jul-Sep 2015,"5,240 - 6,320","5,770",3.20%,,,
Iscon Ambli Road,Apr-Jun 2015,"5,190 - 6,250","5,700",3.50%,,,
Iscon Ambli Road,Jan-Mar 2015,"5,140 - 6,180","5,630",3.70%,,,
Iscon Ambli Road,Oct-Dec 2014,"5,090 - 6,110","5,560",4.00%,,,
,,,,,,,
Jagatpur,Oct-Dec 2024,"5,286-7,200","6,243",1%,,,
Jagatpur,Jul-Sep 2024,"5,232-7,181","6,206",1%,,,
Jagatpur,Apr-Jun 2024,"5,242-7,262","6,252",3%,,,
Jagatpur,Jan-Mar 2024,"5,326-7,612","6,469",2%,,,
Jagatpur,Oct-Dec 2023,"5,093-7,599","6,346",5%,,,
Jagatpur,Jul-Sep 2023,"5,003-7,061","6,032",-,,,
Jagatpur,Apr-Jun 2023,"4,846-7,158","6,002",1%,,,
Jagatpur,Jan-Mar 2023,"4,871-7,010","5,940",10%,,,
Jagatpur,Oct-Dec 2022,"4,473-6,366","5,420",1%,,,
Jagatpur,Jul-Sep 2022,"4,557-6,145","5,351",3%,,,
Jagatpur,Apr-Jun 2022,"4,638-6,344","5,491",-,,,
Jagatpur,Jan-Mar 2022,"4,589 - 6,255","5,422",1.20%,,,
Jagatpur,Oct-Dec 2021,"4,540 - 6,180","5,358",1.00%,,,
Jagatpur,Jul-Sep 2021,"4,490 - 6,110","5,295",0.80%,,,
Jagatpur,Apr-Jun 2021,"4,440 - 6,040","5,232",0.50%,,,
Jagatpur,Jan-Mar 2021,"4,400 - 5,970","5,185",0.70%,,,
Jagatpur,Oct-Dec 2020,"4,360 - 5,910","5,140",1.00%,,,
Jagatpur,Jul-Sep 2020,"4,320 - 5,850","5,095",1.20%,,,
Jagatpur,Apr-Jun 2020,"4,280 - 5,790","5,050",1.40%,,,
Jagatpur,Jan-Mar 2020,"4,240 - 5,730","5,000",1.60%,,,
Jagatpur,Oct-Dec 2019,"4,190 - 5,670","4,950",1.80%,,,
Jagatpur,Jul-Sep 2019,"4,150 - 5,620","4,910",2.00%,,,
Jagatpur,Apr-Jun 2019,"4,100 - 5,550","4,855",2.20%,,,
Jagatpur,Jan-Mar 2019,"4,050 - 5,480","4,800",2.50%,,,
Jagatpur,Oct-Dec 2018,"4,000 - 5,410","4,745",2.80%,,,
Jagatpur,Jul-Sep 2018,"3,960 - 5,360","4,700",3.00%,,,
Jagatpur,Apr-Jun 2018,"3,920 - 5,310","4,650",3.30%,,,
Jagatpur,Jan-Mar 2018,"3,880 - 5,260","4,600",3.50%,,,
Jagatpur,Oct-Dec 2017,"3,840 - 5,210","4,550",3.80%,,,
Jagatpur,Jul-Sep 2017,"3,800 - 5,160","4,500",4.00%,,,
Jagatpur,Apr-Jun 2017,"3,760 - 5,110","4,450",4.30%,,,
Jagatpur,Jan-Mar 2017,"3,720 - 5,060","4,400",4.50%,,,
Jagatpur,Oct-Dec 2016,"3,680 - 5,010","4,350",4.70%,,,
Jagatpur,Jul-Sep 2016,"3,640 - 4,960","4,300",5.00%,,,
Jagatpur,Apr-Jun 2016,"3,600 - 4,910","4,250",5.20%,,,
Jagatpur,Jan-Mar 2016,"3,560 - 4,860","4,200",5.50%,,,
Jagatpur,Oct-Dec 2015,"3,520 - 4,810","4,150",5.70%,,,
Jagatpur,Jul-Sep 2015,"3,480 - 4,760","4,100",6.00%,,,
Jagatpur,Apr-Jun 2015,"3,440 - 4,710","4,050",6.20%,,,
Jagatpur,Jan-Mar 2015,"3,400 - 4,660","4,000",6.50%,,,
Jagatpur,Oct-Dec 2014,"3,360 - 4,610","3,950",6.80%,,,
,,,,,,,
Jagatpur Road,Oct-Dec 2024,"5,525 - 7,861","6,693",2%,,,
Jagatpur Road,Jul-Sep 2024,"5,409 - 7,712","6,561",2%,,,
Jagatpur Road,Apr-Jun 2024,"5,281 - 7,698","6,489",1%,,,
Jagatpur Road,Jan-Mar 2024,"5,162 - 7,656","6,409",1.00%,,,
Jagatpur Road,Oct-Dec 2023,"5,057 - 7,794","6,425",0.50%,,,
Jagatpur Road,Jul-Sep 2023,"4,950 - 7,600","6,275",0.80%,,,
Jagatpur Road,Apr-Jun 2023,"4,850 - 7,450","6,150",1.00%,,,
Jagatpur Road,Jan-Mar 2023,"4,750 - 7,300","6,025",1.50%,,,
Jagatpur Road,Oct-Dec 2022,"4,600 - 7,100","5,850",1.20%,,,
Jagatpur Road,Jul-Sep 2022,"4,500 - 6,900","5,700",1.00%,,,
Jagatpur Road,Apr-Jun 2022,"4,350 - 6,700","5,525",0.80%,,,
Jagatpur Road,Jan-Mar 2022,"4,250 - 6,500","5,375",0.50%,,,
Jagatpur Road,Oct-Dec 2021,"4,100 - 6,350","5,225",1.00%,,,
Jagatpur Road,Jul-Sep 2021,"4,000 - 6,100","5,050",0.80%,,,
Jagatpur Road,Apr-Jun 2021,"3,900 - 5,900","4,900",1.00%,,,
Jagatpur Road,Jan-Mar 2021,"3,800 - 5,750","4,775",1.20%,,,
Jagatpur Road,Oct-Dec 2020,"3,700 - 5,600","4,650",1.50%,,,
Jagatpur Road,Jul-Sep 2020,"3,600 - 5,450","4,525",1.20%,,,
Jagatpur Road,Apr-Jun 2020,"3,500 - 5,300","4,400",1.00%,,,
Jagatpur Road,Jan-Mar 2020,"3,400 - 5,150","4,275",0.80%,,,
Jagatpur Road,Oct-Dec 2019,"3,300 - 5,000","4,150",1.00%,,,
Jagatpur Road,Jul-Sep 2019,"3,200 - 4,850","4,025",0.80%,,,
Jagatpur Road,Apr-Jun 2019,"3,100 - 4,700","3,900",1.00%,,,
Jagatpur Road,Jan-Mar 2019,"3,000 - 4,550","3,775",1.20%,,,
Jagatpur Road,Oct-Dec 2018,"2,900 - 4,400","3,650",1.50%,,,
Jagatpur Road,Jul-Sep 2018,"2,800 - 4,250","3,525",1.20%,,,
Jagatpur Road,Apr-Jun 2018,"2,700 - 4,100","3,400",1.00%,,,
Jagatpur Road,Jan-Mar 2018,"2,600 - 3,950","3,275",0.80%,,,
Jagatpur Road,Oct-Dec 2017,"2,500 - 3,800","3,150",1.00%,,,
Jagatpur Road,Jul-Sep 2017,"2,400 - 3,650","3,025",0.80%,,,
Jagatpur Road,Apr-Jun 2017,"2,300 - 3,500","2,900",1.00%,,,
Jagatpur Road,Jan-Mar 2017,"2,200 - 3,350","2,775",1.20%,,,
Jagatpur Road,Oct-Dec 2016,"2,100 - 3,200","2,650",1.50%,,,
Jagatpur Road,Jul-Sep 2016,"2,000 - 3,050","2,525",1.20%,,,
Jagatpur Road,Apr-Jun 2016,"1,900 - 2,900","2,400",1.00%,,,
Jagatpur Road,Jan-Mar 2016,"1,800 - 2,750","2,275",0.80%,,,
Jagatpur Road,Oct-Dec 2015,"1,700 - 2,600","2,150",1.00%,,,
Jagatpur Road,Jul-Sep 2015,"1,600 - 2,450","2,025",0.80%,,,
Jagatpur Road,Apr-Jun 2015,"1,500 - 2,300","1,900",1.00%,,,
Jagatpur Road,Jan-Mar 2015,"1,400 - 2,150","1,775",1.20%,,,
Jagatpur Road,Oct-Dec 2014,"1,300 - 2,000","1,650",1.50%,,,
,,,,,,,
Jodhpur Gam Road,Oct-Dec 2024,"5,897 - 8,924","7,411",1%,,,
Jodhpur Gam Road,Jul-Sep 2024,"5,938 - 8,984","7,461",0.70%,,,
Jodhpur Gam Road,Apr-Jun 2024,"5,879 - 8,950","7,410",2.10%,,,
Jodhpur Gam Road,Jan-Mar 2024,"5,700 - 8,811","7,255",0.50%,,,
Jodhpur Gam Road,Oct-Dec 2023,"5,620 - 8,720","7,220",2.00%,,,
Jodhpur Gam Road,Jul-Sep 2023,"5,698 - 8,849","7,273",4%,,,
Jodhpur Gam Road,Apr-Jun 2023,"5,379 - 8,630","7,005",2.50%,,,
Jodhpur Gam Road,Jan-Mar 2023,"5,250 - 8,500","6,835",2.80%,,,
Jodhpur Gam Road,Oct-Dec 2022,"5,110 - 8,370","6,650",2.10%,,,
Jodhpur Gam Road,Jul-Sep 2022,"5,010 - 8,200","6,450",2.00%,,,
Jodhpur Gam Road,Apr-Jun 2022,"4,890 - 8,050","6,250",1.80%,,,
Jodhpur Gam Road,Jan-Mar 2022,"4,800 - 7,900","6,100",1.50%,,,
Jodhpur Gam Road,Oct-Dec 2021,"4,725 - 7,750","5,980",2.00%,,,
Jodhpur Gam Road,Jul-Sep 2021,"4,640 - 7,600","5,860",1.80%,,,
Jodhpur Gam Road,Apr-Jun 2021,"4,500 - 7,450","5,725",1.50%,,,
Jodhpur Gam Road,Jan-Mar 2021,"4,400 - 7,300","5,600",1.30%,,,
Jodhpur Gam Road,Oct-Dec 2020,"4,350 - 7,200","5,500",2.00%,,,
Jodhpur Gam Road,Jul-Sep 2020,"4,275 - 7,050","5,400",1.80%,,,
Jodhpur Gam Road,Apr-Jun 2020,"4,200 - 6,900","5,300",1.50%,,,
Jodhpur Gam Road,Jan-Mar 2020,"4,100 - 6,750","5,200",1.30%,,,
Jodhpur Gam Road,Oct-Dec 2019,"4,050 - 6,600","5,100",2.00%,,,
Jodhpur Gam Road,Jul-Sep 2019,"3,975 - 6,500","5,000",1.80%,,,
Jodhpur Gam Road,Apr-Jun 2019,"3,900 - 6,350","4,900",1.50%,,,
Jodhpur Gam Road,Jan-Mar 2019,"3,800 - 6,200","4,800",1.30%,,,
Jodhpur Gam Road,Oct-Dec 2018,"3,750 - 6,050","4,700",2.00%,,,
Jodhpur Gam Road,Jul-Sep 2018,"3,680 - 5,900","4,600",1.80%,,,
Jodhpur Gam Road,Apr-Jun 2018,"3,600 - 5,750","4,500",1.50%,,,
Jodhpur Gam Road,Jan-Mar 2018,"3,500 - 5,600","4,400",1.30%,,,
Jodhpur Gam Road,Oct-Dec 2017,"3,450 - 5,450","4,300",2.00%,,,
Jodhpur Gam Road,Jul-Sep 2017,"3,375 - 5,300","4,200",1.80%,,,
Jodhpur Gam Road,Apr-Jun 2017,"3,300 - 5,150","4,100",1.50%,,,
Jodhpur Gam Road,Jan-Mar 2017,"3,200 - 5,000","4,000",1.30%,,,
Jodhpur Gam Road,Oct-Dec 2016,"3,150 - 4,850","3,900",2.00%,,,
Jodhpur Gam Road,Jul-Sep 2016,"3,075 - 4,700","3,800",1.80%,,,
Jodhpur Gam Road,Apr-Jun 2016,"3,000 - 4,550","3,700",1.50%,,,
Jodhpur Gam Road,Jan-Mar 2016,"2,900 - 4,400","3,600",1.30%,,,
Jodhpur Gam Road,Oct-Dec 2015,"2,850 - 4,250","3,500",2.00%,,,
Jodhpur Gam Road,Jul-Sep 2015,"2,775 - 4,100","3,400",1.80%,,,
Jodhpur Gam Road,Apr-Jun 2015,"2,700 - 3,950","3,300",1.50%,,,
Jodhpur Gam Road,Jan-Mar 2015,"2,600 - 3,800","3,200",1.30%,,,
Jodhpur Gam Road,Oct-Dec 2014,"2,550 - 3,650","3,100",2.00%,,,
,,,,,,,
Judges Bunglow Road,Oct-Dec 2024,"6,841 - 10,053","8,447",1%,,,
Judges Bunglow Road,Jul-Sep 2024,"6,747 - 9,975","8,361",3%,,,
Judges Bunglow Road,Apr-Jun 2024,"6,586 - 9,611","8,098",0.10%,,,
Judges Bunglow Road,Jan-Mar 2024,"6,646 - 9,540","8,093",0.50%,,,
Judges Bunglow Road,Oct-Dec 2023,"6,509 - 9,600","8,054",3%,,,
Judges Bunglow Road,Jul-Sep 2023,"6,365 - 9,266","7,816",4%,,,
Judges Bunglow Road,Apr-Jun 2023,"6,172 - 8,857","7,514",3.50%,,,
Judges Bunglow Road,Jan-Mar 2023,"5,990 - 8,550","7,260",3.20%,,,
Judges Bunglow Road,Oct-Dec 2022,"5,810 - 8,290","7,035",2.80%,,,
Judges Bunglow Road,Jul-Sep 2022,"5,655 - 8,050","6,845",2.50%,,,
Judges Bunglow Road,Apr-Jun 2022,"5,515 - 7,850","6,680",2.20%,,,
Judges Bunglow Road,Jan-Mar 2022,"5,390 - 7,650","6,540",2.00%,,,
Judges Bunglow Road,Oct-Dec 2021,"5,280 - 7,450","6,410",1.80%,,,
Judges Bunglow Road,Jul-Sep 2021,"5,175 - 7,280","6,295",1.50%,,,
Judges Bunglow Road,Apr-Jun 2021,"5,050 - 7,120","6,170",1.30%,,,
Judges Bunglow Road,Jan-Mar 2021,"4,950 - 6,960","6,050",1.20%,,,
Judges Bunglow Road,Oct-Dec 2020,"4,850 - 6,800","5,975",1.50%,,,
Judges Bunglow Road,Jul-Sep 2020,"4,760 - 6,650","5,885",1.30%,,,
Judges Bunglow Road,Apr-Jun 2020,"4,680 - 6,500","5,810",1.20%,,,
Judges Bunglow Road,Jan-Mar 2020,"4,600 - 6,350","5,740",1.10%,,,
Judges Bunglow Road,Oct-Dec 2019,"4,525 - 6,200","5,680",1.40%,,,
Judges Bunglow Road,Jul-Sep 2019,"4,450 - 6,080","5,600",1.30%,,,
Judges Bunglow Road,Apr-Jun 2019,"4,375 - 5,950","5,525",1.20%,,,
Judges Bunglow Road,Jan-Mar 2019,"4,300 - 5,800","5,460",1.00%,,,
Judges Bunglow Road,Oct-Dec 2018,"4,250 - 5,700","5,405",1.50%,,,
Judges Bunglow Road,Jul-Sep 2018,"4,150 - 5,550","5,325",1.30%,,,
Judges Bunglow Road,Apr-Jun 2018,"4,050 - 5,400","5,250",1.20%,,,
Judges Bunglow Road,Jan-Mar 2018,"3,950 - 5,250","5,175",1.10%,,,
Judges Bunglow Road,Oct-Dec 2017,"3,875 - 5,150","5,120",1.40%,,,
Judges Bunglow Road,Jul-Sep 2017,"3,800 - 5,000","5,050",1.30%,,,
Judges Bunglow Road,Apr-Jun 2017,"3,700 - 4,900","4,975",1.20%,,,
Judges Bunglow Road,Jan-Mar 2017,"3,600 - 4,750","4,910",1.00%,,,
Judges Bunglow Road,Oct-Dec 2016,"3,550 - 4,650","4,860",1.30%,,,
Judges Bunglow Road,Jul-Sep 2016,"3,500 - 4,500","4,800",1.20%,,,
Judges Bunglow Road,Apr-Jun 2016,"3,450 - 4,400","4,740",1.10%,,,
Judges Bunglow Road,Jan-Mar 2016,"3,400 - 4,300","4,690",1.00%,,,
Judges Bunglow Road,Oct-Dec 2015,"3,350 - 4,200","4,640",1.30%,,,
Judges Bunglow Road,Jul-Sep 2015,"3,300 - 4,100","4,580",1.20%,,,
Judges Bunglow Road,Apr-Jun 2015,"3,250 - 4,000","4,520",1.10%,,,
Judges Bunglow Road,Jan-Mar 2015,"3,200 - 3,900","4,470",1.00%,,,
Judges Bunglow Road,Oct-Dec 2014,"3,150 - 3,800","4,420",1.50%,,,
,,,,,,,
Makarba,Oct-Dec 2024,"5,732 - 8,391","7,061",0.20%,,,
Makarba,Jul-Sep 2024,"5,567 - 8,582","7,075",3%,,,
Makarba,Apr-Jun 2024,"5,282 - 8,438","6,860",5%,,,
Makarba,Jan-Mar 2024,"5,146 - 7,912","6,529",2%,,,
Makarba,Oct-Dec 2023,"5,253 - 7,607","6,430",0.40%,,,
Makarba,Jul-Sep 2023,"5,135 - 7,679","6,407",1%,,,
Makarba,Apr-Jun 2023,"5,268 - 7,664","6,466",2%,,,
Makarba,Jan-Mar 2023,"4,895 - 7,724","6,310",4%,,,
Makarba,Oct-Dec 2022,"4,636 - 7,515","6,076",3%,,,
Makarba,Jul-Sep 2022,"4,660 - 7,177","5,918",7%,,,
Makarba,Apr-Jun 2022,"4,393 - 6,671","5,532",3%,,,
Makarba,Jan-Mar 2022,"4,360 - 7,010","5,685",7%,,,
Makarba,Oct-Dec 2021,"4,321 - 6,293","5,307",5%,,,
Makarba,Jul-Sep 2021,"4,427 - 6,730","5,578",0.40%,,,
Makarba,Apr-Jun 2021,"4,383 - 6,816","5,599",0.40%,,,
Makarba,Jan-Mar 2021,"4,369 - 6,870","5,620",7%,,,
Makarba,Oct-Dec 2020,"4,183 - 6,364","5,274",6%,,,
Makarba,Jul-Sep 2020,"4,063 - 5,912","4,987",1%,,,
Makarba,Apr-Jun 2020,"4,028 - 5,820","4,924",1%,,,
Makarba,Jan-Mar 2020,"4,063 - 5,678","4,871",1%,,,
Makarba,Oct-Dec 2019,"4,101 - 5,549","4,825",1.50%,,,
Makarba,Jul-Sep 2019,"3,980 - 5,400","4,750",1.40%,,,
Makarba,Apr-Jun 2019,"3,870 - 5,250","4,685",1.30%,,,
Makarba,Jan-Mar 2019,"3,633 - 5,187","4,410",2%,,,
Makarba,Oct-Dec 2018,"3,656 - 4,993","4,324",1.80%,,,
Makarba,Jul-Sep 2018,"3,570 - 4,900","4,245",1.50%,,,
Makarba,Apr-Jun 2018,"3,500 - 4,750","4,180",1.40%,,,
Makarba,Jan-Mar 2018,"3,430 - 4,620","4,120",1.30%,,,
Makarba,Oct-Dec 2017,"3,350 - 4,500","4,070",1.50%,,,
Makarba,Jul-Sep 2017,"3,280 - 4,400","4,010",1.40%,,,
Makarba,Apr-Jun 2017,"3,200 - 4,300","3,960",1.30%,,,
Makarba,Jan-Mar 2017,"3,150 - 4,180","3,910",1.20%,,,
Makarba,Oct-Dec 2016,"3,100 - 4,050","3,865",1.50%,,,
Makarba,Jul-Sep 2016,"3,050 - 3,950","3,810",1.40%,,,
Makarba,Apr-Jun 2016,"3,000 - 3,850","3,760",1.30%,,,
Makarba,Jan-Mar 2016,"2,950 - 3,750","3,710",1.20%,,,
Makarba,Oct-Dec 2015,"2,900 - 3,680","3,665",1.50%,,,
Makarba,Jul-Sep 2015,"2,850 - 3,600","3,610",1.40%,,,
Makarba,Apr-Jun 2015,"2,800 - 3,500","3,560",1.30%,,,
Makarba,Jan-Mar 2015,"2,750 - 3,400","3,510",1.20%,,,
Makarba,Oct-Dec 2014,"2,700 - 3,320","3,460",1.50%,,,
,,,,,,,
Navrangpura,Oct-Dec 2024,"5,640-8,972","7,306",2%,,,
Navrangpura,Jul-Sep 2024,"5,667-8,607","7,137",1%,,,
Navrangpura,Apr-Jun 2024,"5,680-8,765","7,223",2%,,,
Navrangpura,Jan-Mar 2024,"5,491-9,241","7,366",4%,,,
Navrangpura,Oct-Dec 2023,"5,326-8,871","7,098",3%,,,
Navrangpura,Jul-Sep 2023,"5,420-8,410","6,915",2%,,,
Navrangpura,Apr-Jun 2023,"5,464-8,073","6,768",0.20%,,,
Navrangpura,Jan-Mar 2023,"5,338-8,168","6,753",2%,,,
Navrangpura,Oct-Dec 2022,"5,419-8,352","6,886",1%,,,
Navrangpura,Jul-Sep 2022,"5,123-8,449","6,786",0.10%,,,
Navrangpura,Apr-Jun 2022,"5,165-8,387","6,776",0.30%,,,
Navrangpura,Jan-Mar 2022,"5,404-8,189","6,797",,,,
Navrangpura,Oct-Dec 2021,"5,394-8,212","6,803",1%,,,
Navrangpura,Jul-Sep 2021,"5,377-8,070","6,723",6%,,,
Navrangpura,Apr-Jun 2021,"4,946-7,750","6,348",2%,,,
Navrangpura,Jan-Mar 2021,"5,151-7,830","6,491",2%,,,
Navrangpura,Oct-Dec 2020,"5,133-8,055","6,594",0.30%,,,
Navrangpura,Jul-Sep 2020,"5,277-7,956","6,617",2%,,,
Navrangpura,Apr-Jun 2020,"5,065-7,892","6,478",4%,,,
