Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
Ambli Bopal Road,Jul-Sep 2019,"5,327 - 7,975","6,651",1%,,,
Ambli Bopal Road,Apr-Jun 2019,"5,329 - 7,965","6,647",5%,,,
Ambli Bopal Road,Jan-Mar 2019,"4,934 - 7,774","6,354",5%,,,
Ambli Bopal Road,Oct-Dec 2018,"4,727 - 7,393","6,060",1%,,,
Ambli Bopal Road,Jul-Sep 2018,"4,766 - 7,240","6,003",3%,,,
Ambli Bopal Road,Apr-Jun 2018,"5,086 - 7,347","6,217",0.30%,,,
Ambli Bopal Road,Jan-Mar 2018,"4,937 - 7,457","6,197",3%,,,
Ambli Bopal Road,Oct-Dec 2017,"4,857 - 7,207","6,032",2%,,,
Ambli Bopal Road,Jul-Sep 2017,"4,780 - 7,090","5,935",1%,,,
Ambli Bopal Road,Apr-Jun 2017,"4,702 - 6,992","5,847",6%,,,
Ambli Bopal Road,Jan-Mar 2017,"4,292 - 6,697","5,495",5%,,,
Ambli Bopal Road,Oct-Dec 2016,"4,494 - 7,027","5,761",6%,,,
Ambli Bopal Road,Jul-Sep 2016,"4,362 - 6,550","5,456",7%,,,
Ambli Bopal Road,Apr-Jun 2016,"4,240 - 5,974","5,107",5%,,,
Ambli Bopal Road,Jan-Mar 2016,"4,050 - 5,890","4,970",5%,,,
Ambli Bopal Road,Oct-Dec 2015,"3,890 - 5,745","4,818",4%,,,
Ambli Bopal Road,Jul-Sep 2015,"3,750 - 5,600","4,675",3%,,,
Ambli Bopal Road,Apr-Jun 2015,"3,610 - 5,460","4,535",2%,,,
Ambli Bopal Road,Jan-Mar 2015,"3,500 - 5,320","4,410",2%,,,
Ambli Bopal Road,Oct-Dec 2014,"3,420 - 5,180","4,300",1%,,,
,,,,,,,
Ambli Road,Oct-Dec 2024,"7,012 - 10,141","8,577",0.40%,,,
Ambli Road,Jul-Sep 2024,"6,909 - 10,170","8,540",2%,,,
Ambli Road,Apr-Jun 2024,"6,682 - 10,060","8,371",3%,,,
Ambli Road,Jan-Mar 2024,"6,596 - 9,670","8,133",0.30%,,,
Ambli Road,Oct-Dec 2023,"6,638 - 9,678","8,158",0.30%,,,
Ambli Road,Jul-Sep 2023,"6,590 - 9,580","8,085",1%,,,
Ambli Road,Apr-Jun 2023,"6,450 - 9,420","7,935",2%,,,
Ambli Road,Jan-Mar 2023,"6,380 - 9,350","7,865",3%,,,
Ambli Road,Oct-Dec 2022,"6,280 - 9,270","7,775",1%,,,
Ambli Road,Jul-Sep 2022,"6,210 - 9,190","7,700",2%,,,
Ambli Road,Apr-Jun 2022,"6,050 - 9,000","7,525",3%,,,
Ambli Road,Jan-Mar 2022,"5,870 - 8,850","7,360",1%,,,
Ambli Road,Oct-Dec 2021,"5,820 - 8,720","7,270",1%,,,
Ambli Road,Jul-Sep 2021,"5,710 - 8,600","7,155",2%,,,
