,Unnamed: 0,location,year,quarter,avg_price,max_price,min_price,location.1,latitude,longitude,Locality,Risk
62,62,Alandi,2025,Jul-Sep,4466.436333,5388.950235,3543.961009,Alandi,18.67832591,73.89471908,Alandi,Low
63,63,Alandi,2025,Oct-Dec,4635.505333,5592.939358,3678.111347,Alandi,18.67832591,73.89471908,Alandi,Low
64,64,Alandi,2026,Jan-Mar,4254.33,5133.034693,3375.662052,Alandi,18.67832591,73.89471908,Alandi,Low
65,65,Alandi,2026,Apr-Jun,4333.41,5228.448162,3438.409267,Alandi,18.67832591,73.89471908,Alandi,Low
66,66,Alandi,2026,Jul-Sep,4193.77,5059.966412,3327.609811,Alandi,18.67832591,73.89471908,Alandi,Low
67,67,Alandi,2026,Oct-Dec,4345.64,5243.204191,3448.113344,Alandi,18.67832591,73.89471908,Alandi,Low
68,68,Alandi,2027,Jan-Mar,4467.35,5390.052614,3544.685972,Alandi,18.67832591,73.89471908,Alandi,Low
69,69,Alandi,2027,Apr-Jun,4449.49,5368.503745,3530.514686,Alandi,18.67832591,73.89471908,Alandi,Low
70,70,Alandi,2027,Jul-Sep,4518.02,5451.188179,3584.890844,Alandi,18.67832591,73.89471908,Alandi,Low
71,71,Alandi,2027,Oct-Dec,4635.33,5592.72781,3677.972226,Alandi,18.67832591,73.89471908,Alandi,Low
72,72,Alandi,2028,Jan-Mar,4245.81,5122.754942,3368.90173,Alandi,18.67832591,73.89471908,Alandi,Low
73,73,Alandi,2028,Apr-Jun,4278.68,5162.41403,3394.982926,Alandi,18.67832591,73.89471908,Alandi,Low
74,74,Alandi,2028,Jul-Sep,4274.1675,5156.969502,3391.402415,Alandi,18.67832591,73.89471908,Alandi,Low
75,75,Alandi,2028,Oct-Dec,4284.6875,5169.662341,3399.749667,Alandi,18.67832591,73.89471908,Alandi,Low
76,76,Alandi,2029,Jan-Mar,4399.6,5308.309284,3490.928716,Alandi,18.67832591,73.89471908,Alandi,Low
77,77,Alandi,2029,Apr-Jun,4393.44,5300.876976,3486.040972,Alandi,18.67832591,73.89471908,Alandi,Low
78,78,Alandi,2029,Jul-Sep,4387.82,5294.0962,3481.581698,Alandi,18.67832591,73.89471908,Alandi,Low
79,79,Alandi,2029,Oct-Dec,4461.833333,5383.396515,3540.30869,Alandi,18.67832591,73.89471908,Alandi,Low
80,80,Alandi,2030,Jan-Mar,4578.81,5524.533965,3633.125583,Alandi,18.67832591,73.89471908,Alandi,Low
81,81,Alandi,2030,Apr-Jun,4567.635,5511.05084,3624.258612,Alandi,18.67832591,73.89471908,Alandi,Low
82,82,Alandi,2030,Jul-Sep,4517.342,5450.370142,3584.352875,Alandi,18.67832591,73.89471908,Alandi,Low
83,83,Alandi,2030,Oct-Dec,4620.726667,5575.108252,3666.384992,Alandi,18.67832591,73.89471908,Alandi,Low
84,84,Alandi Markal Road,2024,Jan-Mar,4097.92,5617.983386,3558.573991,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
85,85,Alandi Markal Road,2024,Apr-Jun,4091.56,5609.264237,3553.051059,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
86,86,Alandi Markal Road,2024,Jul-Sep,4005.79,5491.679112,3478.569642,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
87,87,Alandi Markal Road,2024,Oct-Dec,4430.48,6073.901646,3847.364247,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
88,88,Alandi Markal Road,2025,Jan-Mar,4084.1,5599.03706,3546.572904,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
89,89,Alandi Markal Road,2025,Apr-Jun,3663.66,5022.641001,3181.468937,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
90,90,Alandi Markal Road,2025,Jul-Sep,2921.6625,4005.4104,2537.129125,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
91,91,Alandi Markal Road,2025,Oct-Dec,4261.59,5842.364375,3700.702633,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
92,92,Alandi Markal Road,2026,Jan-Mar,2598.65,3562.581145,2256.629778,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
93,93,Alandi Markal Road,2026,Apr-Jun,2624.11,3597.485159,2278.738871,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
94,94,Alandi Markal Road,2026,Jul-Sep,2549.05,3494.582752,2213.557861,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
95,95,Alandi Markal Road,2026,Oct-Dec,2591.94,3553.382169,2250.802912,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
96,96,Alandi Markal Road,2027,Jan-Mar,2754.41,3776.118035,2391.889492,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
97,97,Alandi Markal Road,2027,Apr-Jun,2807,3848.215525,2437.557881,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
98,98,Alandi Markal Road,2027,Jul-Sep,2885.4,3955.696857,2505.639298,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
99,99,Alandi Markal Road,2027,Oct-Dec,2988.66,4097.259641,2595.308777,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
100,100,Alandi Markal Road,2028,Jan-Mar,3574.82,4900.847105,3104.321576,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
101,101,Alandi Markal Road,2028,Apr-Jun,3355.44,4600.091308,2913.815182,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
102,102,Alandi Markal Road,2028,Jul-Sep,3344.69,4585.353753,2904.480039,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
103,103,Alandi Markal Road,2028,Oct-Dec,3651.36,5005.778497,3170.787796,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
104,104,Alandi Markal Road,2029,Jan-Mar,3715.85,5094.190117,3226.789972,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
105,105,Alandi Markal Road,2029,Apr-Jun,3711.65,5088.432189,3223.142754,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
106,106,Alandi Markal Road,2029,Jul-Sep,3816.68,5232.421529,3314.349275,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
107,107,Alandi Markal Road,2029,Oct-Dec,4062.24,5569.068413,3527.589999,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
108,108,Alandi Markal Road,2030,Jan-Mar,4097.92,5617.983386,3558.573991,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
109,109,Alandi Markal Road,2030,Apr-Jun,4091.56,5609.264237,3553.051059,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
110,110,Alandi Markal Road,2030,Jul-Sep,4005.79,5491.679112,3478.569642,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
111,111,Alandi Markal Road,2030,Oct-Dec,4430.48,6073.901646,3847.364247,Alandi Markal Road,18.66748899,73.94746073,Alandi Markal Road,Low
112,112,Alandi Road,2024,Jan-Mar,6133.382,7270.194878,4598.746064,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
113,113,Alandi Road,2024,Apr-Jun,6128.337,7264.214795,4594.963375,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
114,114,Alandi Road,2024,Jul-Sep,6356.730333,7534.94048,4766.210322,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
115,115,Alandi Road,2024,Oct-Dec,6643.783333,7875.19831,4981.439678,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
116,116,Alandi Road,2025,Jan-Mar,6034.228667,7152.663628,4524.401925,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
117,117,Alandi Road,2025,Apr-Jun,6037.733667,7156.818274,4527.029938,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
118,118,Alandi Road,2025,Jul-Sep,6173.621333,7317.89251,4628.917098,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
119,119,Alandi Road,2025,Oct-Dec,6246.684167,7404.497426,4683.69885,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
120,120,Alandi Road,2026,Jan-Mar,4733.01,5610.266091,3548.761696,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
121,121,Alandi Road,2026,Apr-Jun,4835.11,5731.290169,3625.315214,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
122,122,Alandi Road,2026,Jul-Sep,4746.27,5625.983812,3558.703906,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
123,123,Alandi Road,2026,Oct-Dec,4998.72,5925.225029,3747.988292,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
124,124,Alandi Road,2027,Jan-Mar,4796.27,5685.251235,3596.193386,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
125,125,Alandi Road,2027,Apr-Jun,4913.21,5823.865883,3683.873783,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
126,126,Alandi Road,2027,Jul-Sep,4875.52,5779.1901,3655.614212,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
127,127,Alandi Road,2027,Oct-Dec,5139.26,6091.813901,3853.363723,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
128,128,Alandi Road,2028,Jan-Mar,5531.32,6556.541617,4147.326235,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
129,129,Alandi Road,2028,Apr-Jun,5584.66,6619.768103,4187.320012,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
130,130,Alandi Road,2028,Jul-Sep,5741.54,6805.725569,4304.947006,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
131,131,Alandi Road,2028,Oct-Dec,5790.75,6864.056566,4341.844152,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
132,132,Alandi Road,2029,Jan-Mar,5810.09,6886.981205,4356.345083,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
133,133,Alandi Road,2029,Apr-Jun,5830.33,6910.972658,4371.520825,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
134,134,Alandi Road,2029,Jul-Sep,5923.54,7021.458988,4441.408714,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
135,135,Alandi Road,2029,Oct-Dec,6010.433333,7124.457866,4506.560432,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
136,136,Alandi Road,2030,Jan-Mar,6133.382,7270.194878,4598.746064,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
137,137,Alandi Road,2030,Apr-Jun,6128.337,7264.214795,4594.963375,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
138,138,Alandi Road,2030,Jul-Sep,6356.730333,7534.94048,4766.210322,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
139,139,Alandi Road,2030,Oct-Dec,6643.783333,7875.19831,4981.439678,Alandi Road,18.59182195,73.87423971,Alandi Road,Low
140,140,Amanora Park Town,2024,Jan-Mar,9876.01,11963.18379,7788.878505,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
141,141,Amanora Park Town,2024,Apr-Jun,9951.335,12054.42781,7848.284811,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
142,142,Amanora Park Town,2024,Jul-Sep,9818.206714,11893.16449,7743.290988,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
143,143,Amanora Park Town,2024,Oct-Dec,10098.32857,12232.48667,7964.213721,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
144,144,Amanora Park Town,2025,Jan-Mar,9985.405,12095.69808,7875.15468,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
145,145,Amanora Park Town,2025,Apr-Jun,9800.585,11871.81864,7729.393332,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
146,146,Amanora Park Town,2025,Jul-Sep,9312.344714,11280.39475,7344.334562,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
147,147,Amanora Park Town,2025,Oct-Dec,9637.916071,11674.77162,7601.101793,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
148,148,Amanora Park Town,2026,Jan-Mar,7643.62,9259.005497,6028.267237,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
149,149,Amanora Park Town,2026,Apr-Jun,7748.18,9385.662973,6110.730209,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
150,150,Amanora Park Town,2026,Jul-Sep,7781.36,9425.85516,6136.898165,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
151,151,Amanora Park Town,2026,Oct-Dec,7818.53,9470.880584,6166.2129,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
152,152,Amanora Park Town,2027,Jan-Mar,7728.8,9362.187247,6095.445852,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
153,153,Amanora Park Town,2027,Apr-Jun,7862.07,9523.62223,6200.55144,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
154,154,Amanora Park Town,2027,Jul-Sep,7871.05,9534.500043,6207.633666,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
155,155,Amanora Park Town,2027,Oct-Dec,7876.41,9540.992813,6211.860918,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
156,156,Amanora Park Town,2028,Jan-Mar,7933.68,9610.366127,6257.02785,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
157,157,Amanora Park Town,2028,Apr-Jun,7867.59,9530.308814,6204.904879,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
158,158,Amanora Park Town,2028,Jul-Sep,8170.69,9897.465288,6443.949704,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
159,159,Amanora Park Town,2028,Oct-Dec,8219.445,9956.52406,6482.40114,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
160,160,Amanora Park Town,2029,Jan-Mar,8858.59,10730.74453,6986.473407,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
161,161,Amanora Park Town,2029,Apr-Jun,8865.63,10739.27235,6992.02562,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
162,162,Amanora Park Town,2029,Jul-Sep,9155.322,11090.18721,7220.496003,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
