location,year,quarter,avg_price,max_price,min_price
120 Feet Ring Road,2024,Jan-Mar,6205.289999999993,7491.355401782829,4880.126361722688
120 Feet Ring Road,2024,Apr-Jun,6347.45,7662.978498192102,4991.927544839436
120 Feet Ring Road,2024,Jul-Sep,6389.130000000004,7713.296806143276,5024.7066199119345
120 Feet Ring Road,2024,Oct-Dec,6472.440000000007,7813.8730593921255,5090.225447749978
120 Feet Ring Road,2025,Jan-Mar,6540.466666666674,7895.99846155683,5143.724757097346
120 Feet Ring Road,2025,Apr-Jun,6480.2766666666685,7823.33389928281,5096.388563992412
120 Feet Ring Road,2025,Jul-Sep,5557.142666666663,6708.877543903861,4370.393393935486
120 Feet Ring Road,2025,Oct-Dec,5840.400000000003,7050.840829126843,4593.16003007196
120 Feet Ring Road,2026,Jan-Mar,4654.500000000003,5619.159413596824,3660.5135538610266
120 Feet Ring Road,2026,Apr-Jun,4704.250000000001,5679.220253821646,3699.6392492750515
120 Feet Ring Road,2026,Jul-Sep,4794.349999999999,5787.993755414742,3770.4980463967345
120 Feet Ring Road,2026,Oct-Dec,4851.6999999999925,5857.229718970385,3815.6007324669686
120 Feet Ring Road,2027,Jan-Mar,4842.500000000001,5846.122990727814,3808.3654279884013
120 Feet Ring Road,2027,Apr-Jun,4827.799999999998,5828.3763706010795,3796.8046697454606
120 Feet Ring Road,2027,Jul-Sep,4727.849999999996,5707.711426269998,3718.199378154867
120 Feet Ring Road,2027,Oct-Dec,4743.549999999997,5726.665299466577,3730.5465825367824
120 Feet Ring Road,2028,Jan-Mar,4748.450000000013,5732.58083950884,3734.4001686177735
120 Feet Ring Road,2028,Apr-Jun,4740.100000000012,5722.500276375628,3727.8333433573284
120 Feet Ring Road,2028,Jul-Sep,4815.399999999996,5813.40643253499,3787.052737622164
120 Feet Ring Road,2028,Oct-Dec,4967.630000000001,5997.186567357607,3906.773433358394
120 Feet Ring Road,2029,Jan-Mar,5608.5899999999965,6770.987495005903,4410.853950596066
120 Feet Ring Road,2029,Apr-Jun,5544.180000000001,6693.228324777147,4360.198954784664
120 Feet Ring Road,2029,Jul-Sep,5801.700000000002,7004.120135323813,4562.724564493611
120 Feet Ring Road,2029,Oct-Dec,5922.729999999998,7150.233974367234,4657.908140693801
120 Feet Ring Road,2030,Jan-Mar,6205.289999999993,7491.355401782829,4880.126361722688
120 Feet Ring Road,2030,Apr-Jun,6347.45,7662.978498192102,4991.927544839436
120 Feet Ring Road,2030,Jul-Sep,6389.130000000004,7713.296806143276,5024.7066199119345
120 Feet Ring Road,2030,Oct-Dec,6472.440000000007,7813.8730593921255,5090.225447749978
132 Feet Ring Road,2024,Jan-Mar,6428.629999999998,8077.536453790271,4779.723546209725
132 Feet Ring Road,2024,Apr-Jun,6500.740000000009,8168.142252177003,4833.337747823013
132 Feet Ring Road,2024,Jul-Sep,6569.036333333333,8253.956200430384,4884.11646623628
132 Feet Ring Road,2024,Oct-Dec,6622.74000000001,8321.434547325802,4924.045452674217
132 Feet Ring Road,2025,Jan-Mar,6636.075000000008,8338.189897783252,4933.960102216763
132 Feet Ring Road,2025,Apr-Jun,6601.810000000006,8295.13612324822,4908.48387675179
132 Feet Ring Road,2025,Jul-Sep,5925.157523809525,7444.9261962535,4405.388851365547
