,location,quarter,year,avg_price,Locality,Final Risk Calculated,Unnamed: 2
219,Amboli,Oct-Dec,2029.0,21789.18,Amboli,High Risk,
220,Amboli,Jan-Mar,2030.0,21735.02,Amboli,High Risk,
221,Amboli,Apr-Jun,2030.0,22442.76,Amboli,High Risk,
222,Amboli,Jul-Sep,2030.0,22544.212,Amboli,High Risk,
223,Amboli,Oct-Dec,2030.0,22387.522,Amboli,High Risk,
224,Andheri,Jan-Mar,2024.0,23437.26,Andheri,Low Risk,
225,Andheri,Apr-Jun,2024.0,23643.57,Andheri,Low Risk,
226,Andheri,Jul-Sep,2024.0,23962.86,Andheri,Low Risk,
227,Andheri,Oct-Dec,2024.0,24049.52,Andheri,Low Risk,
228,Andheri,Jan-Mar,2025.0,24318.1,Andheri,Low Risk,
229,Andheri,Apr-Jun,2025.0,24081.31,Andheri,Low Risk,
230,Andheri,Jul-Sep,2025.0,23474.75,Andheri,Low Risk,
231,Andheri,Oct-Dec,2025.0,22008.93,Andheri,Low Risk,
232,Andheri,Jan-Mar,2026.0,21403.08,Andheri,Low Risk,
233,Andheri,Apr-Jun,2026.0,21301.21,Andheri,Low Risk,
234,Andheri,Jul-Sep,2026.0,21071.67,Andheri,Low Risk,
235,Andheri,Oct-Dec,2026.0,21201.3,Andheri,Low Risk,
236,Andheri,Jan-Mar,2027.0,21190.07,Andheri,Low Risk,
237,Andheri,Apr-Jun,2027.0,21011.26,Andheri,Low Risk,
238,Andheri,Jul-Sep,2027.0,20785.71,Andheri,Low Risk,
239,Andheri,Oct-Dec,2027.0,21141.19,Andheri,Low Risk,
240,Andheri,Jan-Mar,2028.0,21766.14,Andheri,Low Risk,
241,Andheri,Apr-Jun,2028.0,21760.16,Andheri,Low Risk,
242,Andheri,Jul-Sep,2028.0,21952.41,Andheri,Low Risk,
243,Andheri,Oct-Dec,2028.0,22045.36,Andheri,Low Risk,
244,Andheri,Jan-Mar,2029.0,22079.93,Andheri,Low Risk,
245,Andheri,Apr-Jun,2029.0,22242.5,Andheri,Low Risk,
246,Andheri,Jul-Sep,2029.0,22512.28,Andheri,Low Risk,
247,Andheri,Oct-Dec,2029.0,22511.89,Andheri,Low Risk,
248,Andheri,Jan-Mar,2030.0,23437.26,Andheri,Low Risk,
249,Andheri,Apr-Jun,2030.0,23643.57,Andheri,Low Risk,
250,Andheri,Jul-Sep,2030.0,23962.86,Andheri,Low Risk,
251,Andheri,Oct-Dec,2030.0,24049.52,Andheri,Low Risk,
252,Andheri East,Jan-Mar,2024.0,20106.58,Andheri East,Low Risk,
253,Andheri East,Apr-Jun,2024.0,20263.58,Andheri East,Low Risk,
254,Andheri East,Jul-Sep,2024.0,20354.77,Andheri East,Low Risk,
255,Andheri East,Oct-Dec,2024.0,20900.77,Andheri East,Low Risk,
256,Andheri East,Jan-Mar,2025.0,20706.14,Andheri East,Low Risk,
257,Andheri East,Apr-Jun,2025.0,20747.54,Andheri East,Low Risk,
258,Andheri East,Jul-Sep,2025.0,18401.09417,Andheri East,Low Risk,
259,Andheri East,Oct-Dec,2025.0,18295.98,Andheri East,Low Risk,
260,Andheri East,Jan-Mar,2026.0,18130.84,Andheri East,Low Risk,
261,Andheri East,Apr-Jun,2026.0,18156.15,Andheri East,Low Risk,
262,Andheri East,Jul-Sep,2026.0,18109.99,Andheri East,Low Risk,
263,Andheri East,Oct-Dec,2026.0,18164.13,Andheri East,Low Risk,
264,Andheri East,Jan-Mar,2027.0,18073.81,Andheri East,Low Risk,
265,Andheri East,Apr-Jun,2027.0,18133.03,Andheri East,Low Risk,
266,Andheri East,Jul-Sep,2027.0,18025.7,Andheri East,Low Risk,
267,Andheri East,Oct-Dec,2027.0,18010.17,Andheri East,Low Risk,
268,Andheri East,Jan-Mar,2028.0,18436.27,Andheri East,Low Risk,
269,Andheri East,Apr-Jun,2028.0,18669.71,Andheri East,Low Risk,
270,Andheri East,Jul-Sep,2028.0,18541.50667,Andheri East,Low Risk,
271,Andheri East,Oct-Dec,2028.0,18775.11,Andheri East,Low Risk,
272,Andheri East,Jan-Mar,2029.0,19098.61,Andheri East,Low Risk,
273,Andheri East,Apr-Jun,2029.0,19319.49,Andheri East,Low Risk,
274,Andheri East,Jul-Sep,2029.0,19600.1,Andheri East,Low Risk,
275,Andheri East,Oct-Dec,2029.0,19799.29,Andheri East,Low Risk,
276,Andheri East,Jan-Mar,2030.0,20106.58,Andheri East,Low Risk,
277,Andheri East,Apr-Jun,2030.0,20263.58,Andheri East,Low Risk,
278,Andheri East,Jul-Sep,2030.0,20354.77,Andheri East,Low Risk,
279,Andheri East,Oct-Dec,2030.0,20900.77,Andheri East,Low Risk,
280,Andheri Kurla Road,Jan-Mar,2024.0,22326.76,Andheri Kurla Road,Low Risk,
281,Andheri Kurla Road,Apr-Jun,2024.0,23124.38,Andheri Kurla Road,Low Risk,
282,Andheri Kurla Road,Jul-Sep,2024.0,23647.65,Andheri Kurla Road,Low Risk,
283,Andheri Kurla Road,Oct-Dec,2024.0,24054.13,Andheri Kurla Road,Low Risk,
284,Andheri Kurla Road,Jan-Mar,2025.0,20613.0,Andheri Kurla Road,Low Risk,
285,Andheri Kurla Road,Apr-Jun,2025.0,20828.71,Andheri Kurla Road,Low Risk,
286,Andheri Kurla Road,Jul-Sep,2025.0,18072.05567,Andheri Kurla Road,Low Risk,
287,Andheri Kurla Road,Oct-Dec,2025.0,18691.074,Andheri Kurla Road,Low Risk,
288,Andheri Kurla Road,Jan-Mar,2026.0,15227.7825,Andheri Kurla Road,Low Risk,
289,Andheri Kurla Road,Apr-Jun,2026.0,15157.7825,Andheri Kurla Road,Low Risk,
290,Andheri Kurla Road,Jul-Sep,2026.0,15194.71333,Andheri Kurla Road,Low Risk,
291,Andheri Kurla Road,Oct-Dec,2026.0,15670.0325,Andheri Kurla Road,Low Risk,
292,Andheri Kurla Road,Jan-Mar,2027.0,16230.0,Andheri Kurla Road,Low Risk,
293,Andheri Kurla Road,Apr-Jun,2027.0,16385.0,Andheri Kurla Road,Low Risk,
294,Andheri Kurla Road,Jul-Sep,2027.0,16804.33667,Andheri Kurla Road,Low Risk,
295,Andheri Kurla Road,Oct-Dec,2027.0,17185.0,Andheri Kurla Road,Low Risk,
296,Andheri Kurla Road,Jan-Mar,2028.0,18225.3,Andheri Kurla Road,Low Risk,
297,Andheri Kurla Road,Apr-Jun,2028.0,18492.38,Andheri Kurla Road,Low Risk,
298,Andheri Kurla Road,Jul-Sep,2028.0,18646.20333,Andheri Kurla Road,Low Risk,
299,Andheri Kurla Road,Oct-Dec,2028.0,19250.90333,Andheri Kurla Road,Low Risk,
300,Andheri Kurla Road,Jan-Mar,2029.0,20466.22,Andheri Kurla Road,Low Risk,
301,Andheri Kurla Road,Apr-Jun,2029.0,20611.86,Andheri Kurla Road,Low Risk,
302,Andheri Kurla Road,Jul-Sep,2029.0,21170.18,Andheri Kurla Road,Low Risk,
303,Andheri Kurla Road,Oct-Dec,2029.0,21478.57,Andheri Kurla Road,Low Risk,
304,Andheri Kurla Road,Jan-Mar,2030.0,22326.76,Andheri Kurla Road,Low Risk,
305,Andheri Kurla Road,Apr-Jun,2030.0,23124.38,Andheri Kurla Road,Low Risk,
306,Andheri Kurla Road,Jul-Sep,2030.0,23647.65,Andheri Kurla Road,Low Risk,
307,Andheri Kurla Road,Oct-Dec,2030.0,24054.13,Andheri Kurla Road,Low Risk,
308,Andheri West,Jan-Mar,2024.0,25219.6,Andheri West,Low Risk,
309,Andheri West,Apr-Jun,2024.0,25319.48,Andheri West,Low Risk,
310,Andheri West,Jul-Sep,2024.0,25860.06,Andheri West,Low Risk,
311,Andheri West,Oct-Dec,2024.0,25649.42,Andheri West,Low Risk,
312,Andheri West,Jan-Mar,2025.0,25689.42,Andheri West,Low Risk,
313,Andheri West,Apr-Jun,2025.0,25627.97,Andheri West,Low Risk,
314,Andheri West,Jul-Sep,2025.0,25935.17,Andheri West,Low Risk,
315,Andheri West,Oct-Dec,2025.0,24231.91,Andheri West,Low Risk,
316,Andheri West,Jan-Mar,2026.0,23373.75,Andheri West,Low Risk,
