location,quarter,year,predicted_price,Locality,Risk
Ambedkar Road,Jan-Mar,2029,15782.8,Ambedkar Road,High
Ambedkar Road,Apr-Jun,2029,15861.94,Ambedkar Road,High
Ambedkar Road,Jul-Sep,2029,16691.68,Ambedkar Road,High
Ambedkar Road,Oct-Dec,2029,16525.69,Ambedkar Road,High
Ambedkar Road,Jan-Mar,2030,17915.97,Ambedkar Road,High
Ambedkar Road,Apr-Jun,2030,18312.39,Ambedkar Road,High
Ambedkar Road,Jul-Sep,2030,18297.518,Ambedkar Road,High
Ambedkar Road,Oct-Dec,2030,17022.14,Ambedkar Road,High
Amboli,Jan-Mar,2024,21735.02,Amboli,High
Amboli,Apr-Jun,2024,22442.76,Amboli,High
Amboli,Jul-Sep,2024,22544.212,Amboli,High
Amboli,Oct-Dec,2024,22387.522,Amboli,High
Amboli,Jan-Mar,2025,22633.03,Amboli,High
Amboli,Apr-Jun,2025,22526.11,Amboli,High
Amboli,Jul-Sep,2025,21877.204,Amboli,High
Amboli,Oct-Dec,2025,21001.034,Amboli,High
Amboli,Jan-Mar,2026,20399.87,Amboli,High
Amboli,Apr-Jun,2026,20418.91,Amboli,High
Amboli,Jul-Sep,2026,20125.44,Amboli,High
Amboli,Oct-Dec,2026,19732.19,Amboli,High
Amboli,Jan-Mar,2027,18593.52,Amboli,High
Amboli,Apr-Jun,2027,18441.13,Amboli,High
Amboli,Jul-Sep,2027,18353.22,Amboli,High
Amboli,Oct-Dec,2027,18444.32,Amboli,High
Amboli,Jan-Mar,2028,19838.51,Amboli,High
Amboli,Apr-Jun,2028,19944.08,Amboli,High
Amboli,Jul-Sep,2028,20406.55,Amboli,High
Amboli,Oct-Dec,2028,20459.4,Amboli,High
Amboli,Jan-Mar,2029,21262.36,Amboli,High
Amboli,Apr-Jun,2029,21362.94,Amboli,High
Amboli,Jul-Sep,2029,21982.37,Amboli,High
Amboli,Oct-Dec,2029,21789.18,Amboli,High
Amboli,Jan-Mar,2030,21735.02,Amboli,High
Amboli,Apr-Jun,2030,22442.76,Amboli,High
Amboli,Jul-Sep,2030,22544.212,Amboli,High
Amboli,Oct-Dec,2030,22387.522,Amboli,High
Andheri,Jan-Mar,2024,23437.26,Andheri,Low
Andheri,Apr-Jun,2024,23643.57,Andheri,Low
Andheri,Jul-Sep,2024,23962.86,Andheri,Low
Andheri,Oct-Dec,2024,24049.52,Andheri,Low
Andheri,Jan-Mar,2025,24318.1,Andheri,Low
Andheri,Apr-Jun,2025,24081.31,Andheri,Low
Andheri,Jul-Sep,2025,23474.75,Andheri,Low
Andheri,Oct-Dec,2025,22008.93,Andheri,Low
Andheri,Jan-Mar,2026,21403.08,Andheri,Low
Andheri,Apr-Jun,2026,21301.21,Andheri,Low
Andheri,Jul-Sep,2026,21071.67,Andheri,Low
Andheri,Oct-Dec,2026,21201.3,Andheri,Low
Andheri,Jan-Mar,2027,21190.07,Andheri,Low
Andheri,Apr-Jun,2027,21011.26,Andheri,Low
Andheri,Jul-Sep,2027,20785.71,Andheri,Low
Andheri,Oct-Dec,2027,21141.19,Andheri,Low
Andheri,Jan-Mar,2028,21766.14,Andheri,Low
Andheri,Apr-Jun,2028,21760.16,Andheri,Low
Andheri,Jul-Sep,2028,21952.41,Andheri,Low
Andheri,Oct-Dec,2028,22045.36,Andheri,Low
Andheri,Jan-Mar,2029,22079.93,Andheri,Low
Andheri,Apr-Jun,2029,22242.5,Andheri,Low
Andheri,Jul-Sep,2029,22512.28,Andheri,Low
Andheri,Oct-Dec,2029,22511.89,Andheri,Low
Andheri,Jan-Mar,2030,23437.26,Andheri,Low
Andheri,Apr-Jun,2030,23643.57,Andheri,Low
Andheri,Jul-Sep,2030,23962.86,Andheri,Low
Andheri,Oct-Dec,2030,24049.52,Andheri,Low
Andheri East,Jan-Mar,2024,20106.58,Andheri East,Low
Andheri East,Apr-Jun,2024,20263.58,Andheri East,Low
Andheri East,Jul-Sep,2024,20354.77,Andheri East,Low
Andheri East,Oct-Dec,2024,20900.77,Andheri East,Low
Andheri East,Jan-Mar,2025,20706.14,Andheri East,Low
Andheri East,Apr-Jun,2025,20747.54,Andheri East,Low
Andheri East,Jul-Sep,2025,18401.09417,Andheri East,Low
Andheri East,Oct-Dec,2025,18295.98,Andheri East,Low
Andheri East,Jan-Mar,2026,18130.84,Andheri East,Low
Andheri East,Apr-Jun,2026,18156.15,Andheri East,Low
Andheri East,Jul-Sep,2026,18109.99,Andheri East,Low
Andheri East,Oct-Dec,2026,18164.13,Andheri East,Low
Andheri East,Jan-Mar,2027,18073.81,Andheri East,Low
Andheri East,Apr-Jun,2027,18133.03,Andheri East,Low
Andheri East,Jul-Sep,2027,18025.7,Andheri East,Low
Andheri East,Oct-Dec,2027,18010.17,Andheri East,Low
Andheri East,Jan-Mar,2028,18436.27,Andheri East,Low
Andheri East,Apr-Jun,2028,18669.71,Andheri East,Low
Andheri East,Jul-Sep,2028,18541.50667,Andheri East,Low
Andheri East,Oct-Dec,2028,18775.11,Andheri East,Low
Andheri East,Jan-Mar,2029,19098.61,Andheri East,Low
Andheri East,Apr-Jun,2029,19319.49,Andheri East,Low
Andheri East,Jul-Sep,2029,19600.1,Andheri East,Low
Andheri East,Oct-Dec,2029,19799.29,Andheri East,Low
Andheri East,Jan-Mar,2030,20106.58,Andheri East,Low
Andheri East,Apr-Jun,2030,20263.58,Andheri East,Low
Andheri East,Jul-Sep,2030,20354.77,Andheri East,Low
Andheri East,Oct-Dec,2030,20900.77,Andheri East,Low
Andheri Kurla Road,Jan-Mar,2024,22326.76,Andheri Kurla Road,Low
Andheri Kurla Road,Apr-Jun,2024,23124.38,Andheri Kurla Road,Low
Andheri Kurla Road,Jul-Sep,2024,23647.65,Andheri Kurla Road,Low
Andheri Kurla Road,Oct-Dec,2024,24054.13,Andheri Kurla Road,Low
Andheri Kurla Road,Jan-Mar,2025,20613,Andheri Kurla Road,Low
Andheri Kurla Road,Apr-Jun,2025,20828.71,Andheri Kurla Road,Low
Andheri Kurla Road,Jul-Sep,2025,18072.05567,Andheri Kurla Road,Low
Andheri Kurla Road,Oct-Dec,2025,18691.074,Andheri Kurla Road,Low
Andheri Kurla Road,Jan-Mar,2026,15227.7825,Andheri Kurla Road,Low
Andheri Kurla Road,Apr-Jun,2026,15157.7825,Andheri Kurla Road,Low
Andheri Kurla Road,Jul-Sep,2026,15194.71333,Andheri Kurla Road,Low
Andheri Kurla Road,Oct-Dec,2026,15670.0325,Andheri Kurla Road,Low
Andheri Kurla Road,Jan-Mar,2027,16230,Andheri Kurla Road,Low
Andheri Kurla Road,Apr-Jun,2027,16385,Andheri Kurla Road,Low
Andheri Kurla Road,Jul-Sep,2027,16804.33667,Andheri Kurla Road,Low
Andheri Kurla Road,Oct-Dec,2027,17185,Andheri Kurla Road,Low
Andheri Kurla Road,Jan-Mar,2028,18225.3,Andheri Kurla Road,Low
