,location,quarter,year,min_price,max_price,avg_price,latitude,longitude,Risk
1400,Aga Abbas Ali Road,Apr-Jun,2029,9268.019139,15490.31753,12416.0,12.977376,77.6176664,Low
1428,Aga Abbas Ali Road,Jul-Sep,2029,9217.551132,15405.96666,12348.39,12.977376,77.6176664,Low
1456,Aga Abbas Ali Road,Oct-Dec,2029,9344.852032,15618.73396,12518.93,12.977376,77.6176664,Low
1484,Aga Abbas Ali Road,Jan-Mar,2030,9788.173276,16359.68914,13112.83,12.977376,77.6176664,Low
1512,Aga Abbas Ali Road,Apr-Jun,2030,9864.550831,16487.34453,13215.15,12.977376,77.6176664,Low
1540,Aga Abbas Ali Road,Jul-Sep,2030,10099.87163,16880.65337,13530.4,12.977376,77.6176664,Low
1568,Aga Abbas Ali Road,Oct-Dec,2030,9540.580713,15945.8696,12781.14,12.977376,77.6176664,Low
1596,Akshayanagar,Jan-Mar,2024,4634.435871,7447.372627,6041.01,12.8694,77.6164,Moderate
1624,Akshayanagar,Apr-Jun,2024,4536.162365,7289.450618,5912.91,12.8694,77.6164,Moderate
1652,Akshayanagar,Jul-Sep,2024,4731.469131,7603.301605,6167.493333,12.8694,77.6164,Moderate
1680,Akshayanagar,Oct-Dec,2024,7376.588908,11853.91445,9615.42,12.8694,77.6164,Moderate
1708,Akshayanagar,Jan-Mar,2025,5765.376487,9264.753732,7515.196667,12.8694,77.6164,Moderate
1736,Akshayanagar,Apr-Jun,2025,5630.487341,9047.9917,7339.368,12.8694,77.6164,Moderate
1764,Akshayanagar,Jul-Sep,2025,5365.332992,8621.89815,6993.738,12.8694,77.6164,Moderate
1792,Akshayanagar,Oct-Dec,2025,4543.741929,7301.630708,5922.79,12.8694,77.6164,Moderate
1820,Akshayanagar,Jan-Mar,2026,4165.74566,6694.204227,5430.07,12.8694,77.6164,Moderate
1848,Akshayanagar,Apr-Jun,2026,4169.849979,6700.799721,5435.42,12.8694,77.6164,Moderate
1876,Akshayanagar,Jul-Sep,2026,4122.62346,6624.908395,5373.86,12.8694,77.6164,Moderate
1904,Akshayanagar,Oct-Dec,2026,4190.195126,6733.493645,5461.94,12.8694,77.6164,Moderate
1932,Akshayanagar,Jan-Mar,2027,4310.217688,6926.365607,5618.39,12.8694,77.6164,Moderate
1960,Akshayanagar,Apr-Jun,2027,4357.137341,7001.763812,5679.55,12.8694,77.6164,Moderate
1988,Akshayanagar,Jul-Sep,2027,4372.334829,7026.18563,5699.36,12.8694,77.6164,Moderate
2016,Akshayanagar,Oct-Dec,2027,4357.08364,7001.677515,5679.48,12.8694,77.6164,Moderate
2044,Akshayanagar,Jan-Mar,2028,4236.378304,6807.70836,5522.14,12.8694,77.6164,Moderate
2072,Akshayanagar,Apr-Jun,2028,4181.280699,6719.168479,5450.32,12.8694,77.6164,Moderate
2100,Akshayanagar,Jul-Sep,2028,4274.099681,6868.325262,5571.31,12.8694,77.6164,Moderate
2128,Akshayanagar,Oct-Dec,2028,4380.267288,7038.932809,5709.7,12.8694,77.6164,Moderate
2156,Akshayanagar,Jan-Mar,2029,4493.239627,7220.475315,5856.96,12.8694,77.6164,Moderate
2184,Akshayanagar,Apr-Jun,2029,4446.910688,7146.026368,5796.57,12.8694,77.6164,Moderate
2212,Akshayanagar,Jul-Sep,2029,4337.843206,6970.758827,5654.4,12.8694,77.6164,Moderate
2240,Akshayanagar,Oct-Dec,2029,4460.911402,7168.525015,5814.82,12.8694,77.6164,Moderate
2268,Akshayanagar,Jan-Mar,2030,4634.435871,7447.372627,6041.01,12.8694,77.6164,Moderate
2296,Akshayanagar,Apr-Jun,2030,4536.162365,7289.450618,5912.91,12.8694,77.6164,Moderate
2324,Akshayanagar,Jul-Sep,2030,4731.469131,7603.301605,6167.493333,12.8694,77.6164,Moderate
2352,Akshayanagar,Oct-Dec,2030,7376.588908,11853.91445,9615.42,12.8694,77.6164,Moderate
2380,Amrutahalli,Jan-Mar,2024,5620.449242,9047.837287,7334.12,13.0662319,77.6007646,Moderate
2408,Amrutahalli,Apr-Jun,2024,5481.281409,8823.803968,7152.52,13.0662319,77.6007646,Moderate
2436,Amrutahalli,Jul-Sep,2024,5706.800736,9186.846508,7446.8,13.0662319,77.6007646,Moderate
2464,Amrutahalli,Oct-Dec,2024,5643.178966,9084.427751,7363.78,13.0662319,77.6007646,Moderate
2492,Amrutahalli,Jan-Mar,2025,6341.755504,10209.001,8275.352,13.0662319,77.6007646,Moderate
2520,Amrutahalli,Apr-Jun,2025,5905.177737,9506.195149,7705.662,13.0662319,77.6007646,Moderate
2548,Amrutahalli,Jul-Sep,2025,5829.603576,9384.535352,7607.045333,13.0662319,77.6007646,Moderate
2576,Amrutahalli,Oct-Dec,2025,4454.527811,7170.929066,5812.71,13.0662319,77.6007646,Moderate
2604,Amrutahalli,Jan-Mar,2026,4299.481359,6921.334235,5610.39,13.0662319,77.6007646,Moderate
2632,Amrutahalli,Apr-Jun,2026,4229.912769,6809.342248,5519.61,13.0662319,77.6007646,Moderate
2660,Amrutahalli,Jul-Sep,2026,4307.144785,6933.670872,5620.39,13.0662319,77.6007646,Moderate
2688,Amrutahalli,Oct-Dec,2026,4269.616984,6873.258362,5571.42,13.0662319,77.6007646,Moderate
2716,Amrutahalli,Jan-Mar,2027,4642.205136,7473.053295,6057.61,13.0662319,77.6007646,Moderate
2744,Amrutahalli,Apr-Jun,2027,4642.871854,7474.126582,6058.48,13.0662319,77.6007646,Moderate
2772,Amrutahalli,Jul-Sep,2027,4556.49737,7335.080352,5945.77,13.0662319,77.6007646,Moderate
2800,Amrutahalli,Oct-Dec,2027,4495.120984,7236.27623,5865.68,13.0662319,77.6007646,Moderate
2828,Amrutahalli,Jan-Mar,2028,4500.232489,7244.504766,5872.35,13.0662319,77.6007646,Moderate
2856,Amrutahalli,Apr-Jun,2028,4606.861411,7416.156727,6011.49,13.0662319,77.6007646,Moderate
2884,Amrutahalli,Jul-Sep,2028,4444.496386,7154.780408,5799.62,13.0662319,77.6007646,Moderate
2912,Amrutahalli,Oct-Dec,2028,4525.284232,7284.833231,5905.04,13.0662319,77.6007646,Moderate
2940,Amrutahalli,Jan-Mar,2029,4423.046454,7120.250163,5771.63,13.0662319,77.6007646,Moderate
