Locality,Risk,location,year,quarter,avg_price,max_price,min_price,Location,Latitude,Longitude
Asaf Ali Road,Moderate,Asaf Ali Road,2029,Apr-Jun,8714.3,10703.94301,7072.952079,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2029,Jul-Sep,8799.26,10808.30101,7141.90977,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2029,Oct-Dec,9033.42,11095.92427,7331.965478,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2030,Jan-Mar,9512.96,11684.95251,7721.183596,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2030,Apr-Jun,9500,11669.03349,7710.664626,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2030,Jul-Sep,9642.36,11843.89703,7826.210965,Asaf Ali Road,28.64415057,77.22682684
Asaf Ali Road,Moderate,Asaf Ali Road,2030,Oct-Dec,9744.58,11969.45583,7909.177716,Asaf Ali Road,28.64415057,77.22682684
Chattarpur,Moderate,Chattarpur,2024,Jan-Mar,4748.3,5942.484712,3554.074132,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2024,Apr-Jun,4635.96,5801.891504,3469.988314,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2024,Jul-Sep,4653.97,5824.43097,3483.468691,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2024,Oct-Dec,4777.17,5978.61544,3575.683154,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2025,Jan-Mar,4834.12,6049.888212,3618.309888,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2025,Apr-Jun,4781.19,5983.646459,3578.6921,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2025,Jul-Sep,4688.59,5867.757807,3509.381554,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2025,Oct-Dec,4775.61,5976.663104,3574.515503,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2026,Jan-Mar,4230.76,5294.784791,3166.698539,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2026,Apr-Jun,4198.04,5253.835798,3142.207815,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2026,Jul-Sep,4260.72,5332.27965,3189.12342,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2026,Oct-Dec,4223.58,5285.79904,3161.324352,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2027,Jan-Mar,4375.77,5476.264417,3275.237656,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2027,Apr-Jun,4289.57,5368.385348,3210.717472,Chattarpur,28.503846,77.183032
